Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,16,SK6805,
GND,TestPoint_Pad_D1.5mm,1,TestPoint6,
"H1, H2",MY203208,2,MY-2032-08,
J1,SK3296S01L1,1,SK-3296S-01-L1,
R1,0603,1,470,
S1,TS1187ABAB,1,TS-1187A-B-A-B,
TP1,TestPoint_Pad_D1.5mm,1,TestPoint1,
TP2,TestPoint_Pad_D1.5mm,1,TestPoint2,
TP3,TestPoint_Pad_D1.5mm,1,TestPoint3,
TP4,TestPoint_Pad_D1.5mm,1,TestPoint4,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,ATtiny44A-M,
U2,SOT-89-3,1,L78L05_SOT89,
VCC,TestPoint_Pad_D1.5mm,1,TestPoint5,
